2016-07-19	743	760	708	732	619300	732
2016-07-15	786	795	756	759	332200	759
2016-07-14	802	805	785	790	193100	790
2016-07-13	815	828	793	793	243900	793
2016-07-12	789	808	787	800	227800	800
2016-07-11	772	782	761	777	174100	777
2016-07-08	786	791	739	756	418600	756
2016-07-07	806	821	785	786	207700	786
2016-07-06	801	810	781	806	351500	806
2016-07-05	852	853	825	827	267200	827
2016-07-04	860	870	845	857	387800	857
2016-07-01	859	864	850	864	318100	864
2016-06-30	846	867	844	850	445600	850
2016-06-29	805	845	805	836	616400	836
2016-06-28	754	797	750	790	373600	790
2016-06-27	766	805	750	780	507500	780
2016-06-24	852	862	687	770	1033400	770
2016-06-23	822	835	810	825	303400	825
2016-06-22	863	903	832	835	940800	835
2016-06-21	835	850	818	837	291600	837
2016-06-20	824	853	823	835	346800	835
2016-06-17	828	830	790	811	533700	811
2016-06-16	857	864	790	799	647000	799
2016-06-15	808	869	806	858	705800	858
2016-06-14	880	882	815	823	1100100	823
2016-06-13	965	965	885	895	989300	895
2016-06-10	1001	1006	991	991	334800	991
2016-06-09	990	1029	989	1005	632100	1005
2016-06-08	1004	1008	990	994	514800	994
2016-06-07	1011	1018	1003	1008	371100	1008
2016-06-06	1001	1019	996	1009	563200	1009
2016-06-03	1020	1042	1013	1033	1414000	1033
2016-06-02	1020	1029	987	992	639300	992
2016-06-01	1000	1016	999	1004	501600	1004
2016-05-31	1022	1025	998	1008	759600	1008
2016-05-30	1009	1027	1003	1022	788400	1022
2016-05-27	996	1007	985	992	796800	992
2016-05-26	1068	1068	998	1010	1644600	1010
2016-05-25	1059	1068	1011	1020	863100	1020
2016-05-24	1078	1093	1047	1050	978400	1050
2016-05-23	1045	1089	1041	1080	1438600	1080
2016-05-20	1003	1054	999	1034	1606500	1034
2016-05-19	988	1005	971	990	991400	990
2016-05-18	1047	1063	970	975	1983000	975
2016-05-17	977	1060	964	1040	4913900	1040
2016-05-16	1275	1282	1203	1217	1447500	1217
2016-05-13	1223	1268	1196	1268	1246700	1268
2016-05-12	1286	1297	1230	1231	1281000	1231
2016-05-11	1286	1318	1254	1307	1618500	1307
2016-05-10	1288	1289	1220	1262	1303300	1262
2016-05-09	1330	1346	1272	1282	2176800	1282
2016-05-06	1310	1335	1285	1311	3657600	1311
2016-05-02	1215	1300	1211	1263	3711700	1263
2016-04-28	1242	1319	1151	1244	10562300	1244
2016-04-27	1090	1148	1030	1129	1327900	1129
2016-04-26	1242	1242	1064	1101	2763300	1101
2016-04-25	1160	1245	1146	1233	3859500	1233
2016-04-22	1135	1185	1115	1129	1886500	1129
2016-04-21	1133	1150	1114	1134	1446700	1134
